open_time,id,symbol,interval_time,open_price,high_price,low_price,close_price,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,daily_return,historical_volatility
2024-05-03 00:00:00+00:00,630,BTCUSDT,1d,59060.6,63333.0,58811.32,62882.01,43628.40143,2024-05-03 23:59:59.999000+00:00,2658193708.347904,1558661,22145.44334,1349687455.5957608,0.06470302287768459,0.5688134845837127
2024-05-04 00:00:00+00:00,631,BTCUSDT,1d,62882.01,64540.0,62541.03,63892.04,24368.69282,2024-05-04 23:59:59.999000+00:00,1547468697.8765795,1113509,12671.20599,804768764.3062501,0.016062304624168355,0.5382148596787968
2024-05-05 00:00:00+00:00,632,BTCUSDT,1d,63892.03,64646.0,62822.17,64012.0,18526.75029,2024-05-05 23:59:59.999000+00:00,1182572239.5306184,992921,8954.93439,571783428.2394707,0.0018775421789631874,0.5253850208796134
2024-05-06 00:00:00+00:00,633,BTCUSDT,1d,64012.0,65500.0,62700.0,63165.19,34674.91949,2024-05-06 23:59:59.999000+00:00,2218131198.466132,1392557,17179.56031,1099303474.2805216,-0.013228925826407556,0.5081526526310431
2024-05-07 00:00:00+00:00,634,BTCUSDT,1d,63165.18,64422.41,62261.0,62312.08,25598.79472,2024-05-07 23:59:59.999000+00:00,1624531631.592377,1272898,12502.38281,793575994.2141025,-0.013506014942723965,0.5105789120619603
2024-05-08 00:00:00+00:00,635,BTCUSDT,1d,62312.07,63020.22,60888.0,61193.03,26121.19004,2024-05-08 23:59:59.999000+00:00,1623561041.1255188,1415152,12669.58179,787749415.5480814,-0.01795879707433945,0.4882605409404294
2024-05-09 00:00:00+00:00,636,BTCUSDT,1d,61193.03,63429.03,60630.0,63074.01,30660.8061,2024-05-09 23:59:59.999000+00:00,1895849912.7734756,1381957,15120.01471,935341755.6782354,0.030738468090238502,0.4819714849425373
2024-05-10 00:00:00+00:00,637,BTCUSDT,1d,63074.0,63469.13,60187.12,60799.99,36529.34025,2024-05-10 23:59:59.999000+00:00,2255550468.413852,1500643,18066.83174,1116494638.2804892,-0.03605320162773862,0.5039604883802989
2024-05-11 00:00:00+00:00,638,BTCUSDT,1d,60799.99,61515.0,60487.09,60825.99,13374.56936,2024-05-11 23:59:59.999000+00:00,814928013.4573288,753281,6223.09555,379263096.21513295,0.0004276316492815013,0.4968297732840432
2024-05-12 00:00:00+00:00,639,BTCUSDT,1d,60825.99,61888.0,60610.0,61483.99,12753.13236,2024-05-12 23:59:59.999000+00:00,781041632.4623835,727113,6416.91108,393132351.8883925,0.010817744191257805,0.49997534053622295
2024-05-13 00:00:00+00:00,640,BTCUSDT,1d,61484.0,63450.0,60749.21,62940.08,32733.41839,2024-05-13 23:59:59.999000+00:00,2041896626.6108148,1371433,16717.90863,1043060982.35746,0.02368242529478004,0.49445618093557075
2024-05-14 00:00:00+00:00,641,BTCUSDT,1d,62940.09,63118.36,61142.77,61577.49,29088.72041,2024-05-14 23:59:59.999000+00:00,1800171876.1676655,1127939,13815.81443,855088066.212488,-0.021649003306001613,0.5007203114996053
2024-05-15 00:00:00+00:00,642,BTCUSDT,1d,61577.49,66444.16,61319.47,66206.5,43559.74719,2024-05-15 23:59:59.999000+00:00,2794259631.8910465,1729454,21797.84094,1398781701.4413886,0.0751737363767182,0.5813640507002381
2024-05-16 00:00:00+00:00,643,BTCUSDT,1d,66206.51,66752.01,64602.77,65235.21,31106.3671,2024-05-16 23:59:59.999000+00:00,2045507646.8293848,1269793,15645.11263,1028962305.104384,-0.014670613912531216,0.5853549388985542
2024-05-17 00:00:00+00:00,644,BTCUSDT,1d,65235.21,67451.2,65106.38,67024.0,26292.23409,2024-05-17 23:59:59.999000+00:00,1745971822.3447456,1117254,13301.09525,883129353.1633428,0.027420621471134998,0.592744665889909
2024-05-18 00:00:00+00:00,645,BTCUSDT,1d,67024.0,67400.01,66600.0,66915.2,14441.25774,2024-05-18 23:59:59.999000+00:00,967145944.6835315,734067,6911.13424,462859253.5879108,-0.0016232991167343114,0.5921392769108913
2024-05-19 00:00:00+00:00,646,BTCUSDT,1d,66915.2,67700.0,65857.25,66274.01,18025.30409,2024-05-19 23:59:59.999000+00:00,1204989222.8768685,823729,8692.17507,581378180.3374597,-0.009582127827459264,0.5934716437214496
2024-05-20 00:00:00+00:00,647,BTCUSDT,1d,66274.0,71515.56,66060.31,71446.62,50816.7011,2024-05-20 23:59:59.999000+00:00,3485474763.752294,1930939,26792.52994,1839346667.540789,0.07804884599558704,0.6710418408588497
2024-05-21 00:00:00+00:00,648,BTCUSDT,1d,71446.62,71979.0,69162.94,70148.34,49607.4336,2024-05-21 23:59:59.999000+00:00,3509345769.233608,2137448,24686.27911,1746693652.328722,-0.018171328468722492,0.6347470766375388
2024-05-22 00:00:00+00:00,649,BTCUSDT,1d,70148.34,70666.0,68842.19,69166.62,27673.18026,2024-05-22 23:59:59.999000+00:00,1931700812.3032143,1371973,13124.78731,916344293.9104755,-0.013994914206095221,0.6107838834921225
2024-05-23 00:00:00+00:00,650,BTCUSDT,1d,69166.62,70096.12,66312.16,67969.65,40513.17374,2024-05-23 23:59:59.999000+00:00,2766790260.7886024,1827855,19791.15119,1351640092.581366,-0.017305602037514634,0.6199619407737098
2024-05-24 00:00:00+00:00,651,BTCUSDT,1d,67969.66,69250.0,66600.12,68549.99,28095.83664,2024-05-24 23:59:59.999000+00:00,1906438696.7156007,1165907,14344.29889,973457354.6957756,0.008538222574340226,0.5668328832872358
2024-05-25 00:00:00+00:00,652,BTCUSDT,1d,68549.99,69610.0,68500.0,69290.57,12130.39418,2024-05-25 23:59:59.999000+00:00,837339788.9838961,703803,5851.95991,403954862.6694792,0.010803502670095222,0.5653015268223218
2024-05-26 00:00:00+00:00,653,BTCUSDT,1d,69290.56,69562.23,68128.01,68507.67,11872.11797,2024-05-26 23:59:59.999000+00:00,818914878.9908898,722849,5934.62083,409411078.5460924,-0.011298795781301996,0.5689786263036585
2024-05-27 00:00:00+00:00,654,BTCUSDT,1d,68507.67,70687.56,68250.0,69436.43,23136.92737,2024-05-27 23:59:59.999000+00:00,1604722197.8374028,1219341,11709.62174,812172288.2576373,0.01355702215532939,0.5654263040484689
2024-05-28 00:00:00+00:00,655,BTCUSDT,1d,69436.43,69591.81,67277.91,68398.39,32622.97042,2024-05-28 23:59:59.999000+00:00,2224860225.799223,1459351,15543.09776,1059920452.3146172,-0.014949501292044975,0.5663162758023726
2024-05-29 00:00:00+00:00,656,BTCUSDT,1d,68398.4,68935.68,67124.65,67652.42,23159.83149,2024-05-29 23:59:59.999000+00:00,1573095221.6483984,1221044,11748.55954,797928379.366918,-0.010906250863507161,0.5618772047008647
2024-05-30 00:00:00+00:00,657,BTCUSDT,1d,67652.41,69500.0,67128.0,68352.17,28478.2184,2024-05-30 23:59:59.999000+00:00,1945001081.5215864,1272851,14074.36655,961595245.1787834,0.01034331070492378,0.5512870618503145
2024-05-31 00:00:00+00:00,658,BTCUSDT,1d,68352.17,69044.1,66670.0,67540.01,26690.32184,2024-05-31 23:59:59.999000+00:00,1812659052.2496767,1177860,13258.10182,900414200.116177,-0.011881992919902995,0.5277704892144565
2024-06-01 00:00:00+00:00,659,BTCUSDT,1d,67540.01,67900.0,67428.44,67766.85,8837.66133,2024-06-01 23:59:59.999000+00:00,598305207.9932046,638484,4235.27045,286752060.4028929,0.0033586018124664996,0.5274108608865202
